Year,Days
1990,104
1991,106
1992,88
1993,95
1994,92
1995,66
1996,66
1997,81
1998,51
1999,40
2000,44
2001,37
2002,33
2003,40
2004,42
2005,38
2006,39
2007,40
2008,38
2009,41
2010,40
2011,45
2012,46
2013,41
2014,37
2015,36
2016,35
2017,35
2018,35
2019,35
2020,35
2021,35
2022,35
2023,35
2024,35
2025,35
2026,35
2027,35
2028,35
2029,35
2030,35
2031,35
2032,35
2033,35
2034,35
2035,35
2036,35
2037,35
2038,35
2039,35
2040,35
2041,35
2042,35
2043,35
2044,35
2045,35
2046,35
2047,35
2048,35
2049,35
2050,35
,
Average,43.4590163934
