Country,Reactor Unit,Type,Net Capacity (MWe),Status,Operator,Contstruction Date,Construction Year,First Criticality Date,,,First Grid Date,Commercial Date,Shutdown Date,UCF for 2013
Belgium,DOEL-1,PWR,433,Operational,ELECTRAB,19690701,1969,19740718,,,19740828,19750215,,97.9
Belgium,TIHANGE-1,PWR,962,Operational,ELECTRAB,19700601,1970,19750221,,,19750307,19751001,,80.9
Belgium,DOEL-2,PWR,433,Operational,ELECTRAB,19710901,1971,19750804,,,19750821,19751201,,93.8
Belgium,DOEL-3,PWR,1006,Operational,ELECTRAB,19750101,1975,19820614,,,19820623,19821001,,56.9
Belgium,TIHANGE-2,PWR,1008,Operational,ELECTRAB,19760401,1976,19821005,,,19821013,19830601,,55.8
Belgium,TIHANGE-3,PWR,1046,Operational,ELECTRAB,19781101,1978,19850605,,,19850615,19850901,,88.9
Belgium,DOEL-4,PWR,1039,Operational,ELECTRAB,19781201,1978,19850331,,,19850408,19850701,,93.5
Bulgaria,KOZLODUY-1,PWR,408,Permanent Shutdown,KOZNPP,19700401,1970,19740630,,,19740724,19741028,20021231,
Bulgaria,KOZLODUY-2,PWR,408,Permanent Shutdown,KOZNPP,19700401,1970,19750822,,,19750824,19751110,20021231,
Bulgaria,KOZLODUY-3,PWR,408,Permanent Shutdown,KOZNPP,19731001,1973,19801204,,,19801217,19810120,20061231,
Bulgaria,KOZLODUY-4,PWR,408,Permanent Shutdown,KOZNPP,19731001,1973,19820425,,,19820517,19820620,20061231,
Bulgaria,KOZLODUY-5,PWR,953,Operational,KOZNPP,19800709,1980,19871105,,,19871129,19881223,,86
Bulgaria,KOZLODUY-6,PWR,953,Operational,KOZNPP,19820401,1982,19910529,,,19910802,19931230,,89.1
Slovakia,BOHUNICE A1,HWGCR,93,Permanent Shutdown,JAVYS,19580801,1958,19721024,,,19721225,19721225,19770222,
Slovakia,BOHUNICE-1,PWR,408,Permanent Shutdown,JAVYS,19720424,1972,19781127,,,19781217,19800401,20061231,
Slovakia,BOHUNICE-2,PWR,408,Permanent Shutdown,JAVYS,19720424,1972,19800315,,,19800326,19810101,20081231,
Slovakia,BOHUNICE-3,PWR,471,Operational,Seplc,19761201,1976,19840807,,,19840820,19850214,,93.7
Slovakia,BOHUNICE-4,PWR,471,Operational,Seplc,19761201,1976,19850802,,,19850809,19851218,,94.5
Czech_Republic,DUKOVANY-1,PWR,468,Operational,CEZ,19790101,1979,19850212,,,19850224,19850503,,92.6
Czech_Republic,DUKOVANY-2,PWR,471,Operational,CEZ,19790101,1979,19860123,,,19860130,19860321,,90.6
Czech_Republic,DUKOVANY-3,PWR,468,Operational,CEZ,19790301,1979,19861028,,,19861114,19861220,,87.4
Czech_Republic,DUKOVANY-4,PWR,471,Operational,CEZ,19790301,1979,19870601,,,19870611,19870719,,91.4
Slovakia,MOCHOVCE-1,PWR,436,Operational,Seplc,19831013,1983,19980609,,,19980704,19981029,,93.3
Slovakia,MOCHOVCE-2,PWR,436,Operational,Seplc,19831013,1983,19991201,,,19991220,20000411,,94.2
Czech_Republic,TEMELIN-1,PWR,1003,Operational,CEZ,19870201,1987,20001011,,,20001221,20020610,,82.3
Czech_Republic,TEMELIN-2,PWR,1003,Operational,CEZ,19870201,1987,20020531,,,20021229,20030418,,84.8
Slovakia,MOCHOVCE-3,PWR,440,Under Construction,Seplc,19870127,1987,20160820,,,20160905,20161109,,
Slovakia,MOCHOVCE-4,PWR,440,Under Construction,Seplc,19870127,1987,20170820,,,20170905,20171109,,
Finland,LOVIISA-1,PWR,496,Operational,FORTUMPH,19710501,1971,19770121,,,19770208,19770509,,93
Finland,LOVIISA-2,PWR,496,Operational,FORTUMPH,19720801,1972,19801017,,,19801104,19810105,,93.7
Finland,OLKILUOTO-1,BWR,880,Operational,TVO,19740201,1974,19780721,,,19780902,19791010,,97.4
Finland,OLKILUOTO-2,BWR,880,Operational,TVO,19751101,1975,19791013,,,19800218,19820710,,93.1
France,G-2 (MARCOULE),GCR,39,Permanent Shutdown,COGEMA,19550301,1955,19580721,,,19590422,19590422,19800202,
