Country,Reactor Unit,Type,Net Capacity (MWe),Status,Operator,Contstruction Date,Construction Year,First Criticality Date,,,First Grid Date,Commercial Date,Shutdown Date,UCF for 2013
Korea,KORI-1,PWR,576,Operational,KHNP,4/27/72,1972,19770619,,,19770626,19780429,20170620,49.9
Korea,WOLSONG-1,PHWR,657,Operational,KHNP,10/30/77,1977,19821121,,,19821231,19830422,,100
Korea,KORI-2,PWR,639,Operational,KHNP,12/4/77,1977,19830409,,,19830422,19830725,,80.3
Korea,KORI-3,PWR,1011,Operational,KHNP,10/1/79,1979,19850101,,,19850122,19850930,,100
Korea,KORI-4,PWR,1010,Operational,KHNP,4/1/80,1980,19851026,,,19851115,19860429,,75.4
Korea,HANBIT-1,PWR,960,Operational,KHNP,6/4/81,1981,19860131,,,19860305,19860825,,81.8
Korea,HANBIT-2,PWR,958,Operational,KHNP,12/10/81,1981,19861015,,,19861111,19870610,,73.2
Korea,HANUL-1,PWR,960,Operational,KHNP,1/26/83,1983,19880225,,,19880407,19880910,,85.6
Korea,HANUL-2,PWR,962,Operational,KHNP,7/5/83,1983,19890225,,,19890414,19890930,,88
Korea,HANBIT-3,PWR,997,Operational,KHNP,12/23/89,1989,19941013,,,19941030,19950331,,54.3
Korea,HANBIT-4,PWR,997,Operational,KHNP,5/26/90,1990,19950707,,,19950718,19960101,,86.8
Korea,WOLSONG-2,PHWR,655,Operational,KHNP,6/22/92,1992,19970129,,,19970401,19970701,,82
Korea,HANUL-3,PWR,994,Operational,KHNP,7/21/93,1993,19971221,,,19980106,19980811,,100
Korea,HANUL-4,PWR,998,Operational,KHNP,11/1/93,1993,19981214,,,19981228,19991231,,37.8
Korea,WOLSONG-3,PHWR,684,Operational,KHNP,3/17/94,1994,19980219,,,19980325,19980701,,90.5
Korea,WOLSONG-4,PHWR,688,Operational,KHNP,7/22/94,1994,19990410,,,19990521,19991001,,88.5
Korea,HANBIT-5,PWR,997,Operational,KHNP,6/29/97,1997,20011124,,,20011219,20020521,,94.3
Korea,HANBIT-6,PWR,995,Operational,KHNP,11/20/97,1997,20020901,,,20020916,20021224,,98
Korea,HANUL-5,PWR,996,Operational,KHNP,10/1/99,1999,20031128,,,20031218,20040729,,85.4
Korea,HANUL-6,PWR,996,Operational,KHNP,9/29/00,2000,20041216,,,20050107,20050422,,99.9
Korea,SHIN-KORI-1,PWR,1000,Operational,KHNP,6/16/06,2006,20100715,,,20100804,20110228,,26.5
Korea,SHIN-KORI-2,PWR,1000,Operational,KHNP,6/5/07,2007,20111227,,,20120128,20120720,,40.6
Korea,SHIN-WOLSONG-1,PWR,1000,Operational,KHNP,11/20/07,2007,20120106,,,20120127,20120731,,37.9
Korea,SHIN-WOLSONG-2,PWR,1000,Operational,KHNP,09/23/08,2008,20150724,,,20150724,20150724,,
Korea,SHIN-KORI-3,PWR,1400,Operational,KHNP,2016,2016,20161201,,,20161201,20161201,,
