Country,Unit,Current Status,Type,Model,Operator,Reactor Supplier,Const. Date,Grid Date,Shutdown Date,RUP [MWe],Latitude,Longitude
ARGENTINA,ATUCHA-1,Operational,PHWR ,PHWR KWU,NASA,SIEMENS,1968-06-01,1974-03-19,,340,-33.96333333,-59.18638889
ARGENTINA,ATUCHA-2,Operational,PHWR ,PHWR KWU,NASA,SIEMENS,1981-07-14,2014-06-25,,693,-33.96333333,-59.18638889
ARGENTINA,CAREM25,Under Construction,PWR  ,CAREM Prototype,CNEA,CNEA,2014-02-08,,,25,,
ARGENTINA,EMBALSE,Operational,PHWR ,CANDU 6,NASA,AECL,1974-04-01,1983-04-25,,608,-32.232,-64.443
ARMENIA,ARMENIAN-1,Permanent Shutdown,PWR  ,VVER V-270,ANPPCJSC,FAEA,1969-07-01,1976-12-22,1989-02-25,376,,
ARMENIA,ARMENIAN-2,Operational,PWR  ,VVER V-270,ANPPCJSC,FAEA,1975-07-01,1980-01-05,,375,,
BANGLADESH,ROOPPUR-1,Under Construction,PWR  ,VVER V-523,NPCBL,AEM,2017-11-30,,,1080,,
BANGLADESH,ROOPPUR-2,Under Construction,PWR  ,VVER V-523,NPCBL,AEM,2018-07-14,,,1080,,
BELARUS,BELARUSIAN-1,Operational,PWR  ,VVER V-491,BelNPP,JSC ASE,2013-11-08,2020-11-03,,1110,,
BELARUS,BELARUSIAN-2,Under Construction,PWR  ,VVER V-491,BelNPP,JSC ASE,2014-04-27,,,1110,,
BELGIUM,BR-3,Permanent Shutdown,PWR  ,Prototype,CEN/SCK,WH,1957-11-01,1962-10-10,1987-06-30,10,,
BELGIUM,DOEL-1,Operational,PWR  ,WH 2LP,EBL+EDF,ACECOWEN,1969-07-01,1974-08-28,,445,51.32528,4.26111
BELGIUM,DOEL-2,Operational,PWR  ,WH 2LP,EBL+EDF,ACECOWEN,1971-09-01,1975-08-21,,433,51.32528,4.26111
BELGIUM,DOEL-3,Operational,PWR  ,WH 3LP,EBL+EDF,FRAMACEC,1975-01-01,1982-06-23,,1006,51.32528,4.26111
BELGIUM,DOEL-4,Operational,PWR  ,WH 3LP,EBL+EDF,ACECOWEN,1978-12-01,1985-04-08,,1038,51.32528,4.26111
