Country,Reactor Unit,Type,Net Capacity (MWe),Status,Operator,Construction Date,Construction Year,First Criticality Date,First Grid Date,Commercial Date,Shutdown Date,UCF for 2013,Latitude,Longitude
us,SHIPPINGPORT,PWR,60,Permanent Shutdown,DOE DUQU,19540101,1954,19570101,19571202,19580526,19821001,,40.6211,-80.4353
us,GE VALLECITOS,BWR,24,Permanent Shutdown,GE,19560101,1956,19570803,19571019,19571019,19631209,,37.6133,-121.84
us,DRESDEN-1,BWR,197,Permanent Shutdown,EXELON,19560501,1956,19591015,19600415,19600704,19781031,,41.3897,-88.2681
us,INDIAN POINT-1,PWR,257,Permanent Shutdown,ENTERGY,19560501,1956,19620802,19620916,19621001,19741031,,41.269722222,-73.952222222
us,FERMI-1,FBR,61,Permanent Shutdown,DTEDISON,19561201,1956,19630823,19660805,,19721129,,41.9628,-83.2575
us,YANKEE NPS,PWR,167,Permanent Shutdown,YAEC,19571101,1957,19600819,19601110,19610701,19911001,,,
us,ELK RIVER,BWR,22,Permanent Shutdown,RCPA,19590101,1959,19621101,19630824,19640701,19680201,,,
us,HALLAM,X,75,Permanent Shutdown,AEC/NPPD,19590101,1959,19630101,19630901,19631101,19640901,,40.5592,-96.7847
us,PATHFINDER,BWR,59,Permanent Shutdown,NMC,19590101,1959,19640101,19660725,,19671001,,43.6036,-96.6375
us,BONUS,BWR,17,Permanent Shutdown,DOE/PRWR,19600101,1960,19640413,19640814,19650901,19680601,,,
us,CVTR,PHWR,17,Permanent Shutdown,CVPA,19600101,1960,19630301,19631218,,19670110,,,
us,PIQUA,X,12,Permanent Shutdown,CofPiqua,19600101,1960,19610101,19630701,19631101,19660101,,40.1323,-84.2348
us,SAXTON,PWR,3,Permanent Shutdown,SNEC,19600101,1960,19670101,19670301,19670301,19720501,,,
us,BIG ROCK POINT,BWR,67,Permanent Shutdown,CPC,19600501,1960,19620927,19621208,19630329,19970829,,45.3589,-85.1972
us,HUMBOLDT BAY,BWR,63,Permanent Shutdown,PG&E,19601101,1960,19630216,19630418,19630801,19760702,,40.7413,-124.209
us,PEACH BOTTOM-1,HTGR,40,Permanent Shutdown,EXELON,19620201,1962,19660303,19670127,19670601,19741101,,39.7583,-76.2681
us,LACROSSE,BWR,48,Permanent Shutdown,DPC,19630301,1963,19670711,19680426,19691107,19870430,,,
us,HADDAM NECK,PWR,560,Permanent Shutdown,CYAPC,19640501,1964,19670724,19670807,19680101,19961205,,41.4819,-72.4992
us,SAN ONOFRE-1,PWR,436,Permanent Shutdown,SCE,19640501,1964,19670614,19670716,19680101,19921130,,33.3689,-117.555
us,OYSTER CREEK,BWR,619,Operational,EXELON,19641215,1964,19690503,19690923,19691201,,95,39.8147,-74.205
us,NINE MILE POINT-1,BWR,621,Operational,EXELON,19650412,1965,19690905,19691109,19691201,,90.6,43.5208,-76.4069
us,DRESDEN-2,BWR,883,Operational,EXELON,19660110,1966,19700107,19700413,19700609,,94.4,41.3897,-88.2681
us,GINNA,PWR,580,Operational,EXELON,19660425,1966,19691108,19691202,19700701,,98.9,43.2778,-77.31
us,MILLSTONE-1,BWR,641,Permanent Shutdown,DOMINION,19660501,1966,19701026,19701129,19710301,19980701,,41.31194444,-72.16861111
us,DRESDEN-3,BWR,867,Operational,EXELON,19661014,1966,19710112,19710722,19711116,,98.1,41.3897,-88.2681
us,INDIAN POINT-2,PWR,1020,Operational,ENTERGY,19661014,1966,19730522,19730626,19740801,,99,41.269722222,-73.952222222
us,QUAD CITIES-1,BWR,908,Operational,EXELON,19670215,1967,19711018,19720412,19730218,,92.2,41.7264,-90.31
us,QUAD CITIES-2,BWR,911,Operational,EXELON,19670215,1967,19720426,19720523,19730310,,99.6,41.7264,-90.31
us,PALISADES,PWR,793,Operational,ENTERGY,19670314,1967,19710524,19711231,19711231,,86.4,42.3228,-86.3144
us,ROBINSON-2,PWR,741,Operational,PROGRESS,19670413,1967,19700920,19700926,19710307,,85,34.4028,-80.1583
us,TURKEY POINT-3,PWR,802,Operational,FPL,19670427,1967,19721020,19721102,19721214,,90.7,25.4342,-80.3306
us,TURKEY POINT-4,PWR,802,Operational,FPL,19670427,1967,19730611,19730621,19730907,,73.4,25.4342,-80.3306
us,BROWNS FERRY-1,BWR,1101,Operational,TVA,19670501,1967,19730817,19731015,19740801,,97.2,34.7039,-87.1186
us,BROWNS FERRY-2,BWR,1104,Operational,TVA,19670501,1967,19740720,19740828,19750301,,85.9,34.7039,-87.1186
us,MONTICELLO,BWR,578,Operational,NSP,19670619,1967,19701210,19710305,19710630,,61.9,45.3336,-93.8492
us,POINT BEACH-1,PWR,591,Operational,NEXTERA,19670719,1967,19701102,19701106,19701221,,91.1,44.2811,-87.5367
us,OCONEE-1,PWR,846,Operational,DUKEENER,19671106,1967,19730419,19730506,19730715,,94.3,34.7939,-82.8981
us,OCONEE-2,PWR,846,Operational,DUKEENER,19671106,1967,19731111,19731205,19740909,,85.1,34.7939,-82.8981
us,OCONEE-3,PWR,846,Operational,DUKEENER,19671106,1967,19740905,19740918,19741216,,99.3,34.7939,-82.8981
us,VERMONT YANKEE,BWR,605,Operational,ENTERGY,19671211,1967,19720324,19720920,19721130,,92.7,42.7789,-72.5131
us,PEACH BOTTOM-2,BWR,1125,Operational,EXELON,19680131,1968,19730916,19740218,19740705,,100,39.7583,-76.2681
us,PEACH BOTTOM-3,BWR,1138,Operational,EXELON,19680131,1968,19740807,19740901,19741223,,87.4,39.7583,-76.2681
us,DIABLO CANYON-1,PWR,1122,Operational,PG&E,19680423,1968,19840429,19841111,19850507,,98.2,35.2108,-120.856
us,THREE MILE ISLAND-1,PWR,819,Operational,EXELON,19680518,1968,19740605,19740619,19740902,,92.1,40.152047,-76.724911
us,CALVERT CLIFFS-1,PWR,866,Operational,EXELON,19680601,1968,19741007,19750103,19750508,,100,38.4319,-76.4422
us,CALVERT CLIFFS-2,PWR,850,Operational,EXELON,19680601,1968,19761130,19761207,19770401,,87.4,38.4319,-76.4422
us,COOPER,BWR,768,Operational,ENTERGY,19680601,1968,19740221,19740510,19740701,,100,40.3619,-95.6414
us,FORT CALHOUN-1,PWR,482,Operational,OPPD,19680607,1968,19730806,19730825,19730926,,2.8,41.5203,-96.0772
us,PRAIRIE ISLAND-1,PWR,522,Operational,NSP,19680625,1968,19731201,19731204,19731216,,99.7,44.6217,-92.6331
us,SURRY-1,PWR,838,Operational,DOMINION,19680625,1968,19720701,19720704,19721222,,91.1,37.1656,-76.6978
us,SURRY-2,PWR,838,Operational,DOMINION,19680625,1968,19730307,19730310,19730501,,100,37.1656,-76.6978
us,BROWNS FERRY-3,BWR,1105,Operational,TVA,19680701,1968,19760808,19760912,19770301,,96.4,34.7039,-87.1186
us,POINT BEACH-2,PWR,591,Operational,NEXTERA,19680725,1968,19720530,19720802,19721001,,100,44.2811,-87.5367
us,KEWAUNEE,PWR,566,Permanent Shutdown,DOMINION,19680806,1968,19740307,19740408,19740616,20130507,100,44.3422,-87.5361
us,PILGRIM-1,BWR,677,Operational,ENTERGY,19680826,1968,19720616,19720719,19721201,,81.2,41.945,-70.5783
us,FITZPATRICK,BWR,813,Operational,ENTERGY,19680901,1968,19741117,19750201,19750728,,97.7,43.5233,-76.3983
us,FORT ST. VRAIN,HTGR,330,Permanent Shutdown,PSCC,19680901,1968,19740131,19761211,19790701,19890829,,,
us,SALEM-1,PWR,1168,Operational,PSEG,19680925,1968,19761211,19761225,19770630,,87.8,39.46297722,-75.53422451
us,SALEM-2,PWR,1158,Operational,PSEG,19680925,1968,19800808,19810603,19811013,,100,39.46297722,-75.53422451
us,CRYSTAL RIVER-3,PWR,860,Permanent Shutdown,PROGRESS,19680925,1968,19770114,19770130,19770313,20130205,0,28.9575,-82.6983
us,HATCH-1,BWR,876,Operational,SOUTHERN,19680930,1968,19740912,19741111,19751231,,94.2,31.9342,-82.3439
us,ANO-1,PWR,836,Operational,ENTERGY,19681001,1968,19740806,19740817,19741219,,61.8,35.3103,-93.2314
us,MAINE YANKEE,PWR,860,Permanent Shutdown,MYAPC,19681001,1968,19721023,19721108,19721228,19970801,,43.95055556,-69.69611111
us,INDIAN POINT-3,PWR,1040,Operational,ENTERGY,19681101,1968,19760406,19760427,19760830,,91.6,41.269722222,-73.952222222
us,ZION-1,PWR,1040,Permanent Shutdown,EXELON,19681201,1968,19730619,19730628,19731231,19980213,,42.4464,-87.803
us,ZION-2,PWR,1040,Permanent Shutdown,EXELON,19681201,1968,19731224,19731226,19740917,19980213,,42.4464,-87.803
us,ANO-2,PWR,993,Operational,ENTERGY,19681206,1968,19781205,19781226,19800326,,86,35.3103,-93.2314
us,COOK-1,PWR,1030,Operational,AEP,19690325,1969,19750118,19750210,19750828,,85.3,41.9754,-86.5659
us,COOK-2,PWR,1077,Operational,AEP,19690325,1969,19780310,19780322,19780701,,88,41.9754,-86.5659
us,RANCHO SECO-1,PWR,873,Permanent Shutdown,SMUD,19690401,1969,19740916,19741013,19750417,19890607,,38.3453,-121.122
us,PRAIRIE ISLAND-2,PWR,518,Operational,NSP,19690625,1969,19741217,19741221,19741221,,72.1,44.6217,-92.6331
us,MILLSTONE-2,PWR,869,Operational,DOMINION,19691101,1969,19751017,19751109,19751226,,99.4,41.31194444,-72.16861111
us,THREE MILE ISLAND-2,PWR,880,Permanent Shutdown,GPU,19691101,1969,19780327,19780421,19781230,19790328,,40.152047,-76.724911
us,TROJAN,PWR,1095,Permanent Shutdown,PORTGE,19700201,1970,19751215,19751223,19760520,19921109,,46.0383,-122.885
us,BRUNSWICK-1,BWR,938,Operational,PROGRESS,19700207,1970,19761008,19761204,19770318,,96.8,33.9583,-78.0103
us,BRUNSWICK-2,BWR,920,Operational,PROGRESS,19700207,1970,19750320,19750429,19751103,,80.6,33.9583,-78.0103
us,SEQUOYAH-1,PWR,1152,Operational,TVA,19700527,1970,19800705,19800722,19810701,,89.4,35.2264,-85.0917
us,SEQUOYAH-2,PWR,1125,Operational,TVA,19700527,1970,19811105,19811223,19820601,,97.2,35.2264,-85.0917
us,DUANE ARNOLD-1,BWR,601,Operational,NEXTERA,19700622,1970,19740323,19740519,19750201,,100,42.1006,-91.7772
us,BEAVER VALLEY-1,PWR,921,Operational,FENOC,19700626,1970,19760510,19760614,19761001,,89.4,40.6233,-80.4306
us,ST. LUCIE-1,PWR,982,Operational,FPL,19700701,1970,19760422,19760507,19761221,,81.1,27.3486,-80.2464
us,DAVIS BESSE-1,PWR,894,Operational,FENOC,19700901,1970,19770812,19770828,19780731,,96.5,41.59692,-83.088999
us,FARLEY-1,PWR,874,Operational,SOUTHERN,19701001,1970,19770809,19770818,19771201,,91.7,31.2231,-85.1117
us,FARLEY-2,PWR,883,Operational,SOUTHERN,19701001,1970,19810505,19810525,19810730,,92.9,31.2231,-85.1117
us,DIABLO CANYON-2,PWR,1118,Operational,PG&E,19701209,1970,19850819,19851020,19860313,,85.6,35.2108,-120.856
us,NORTH ANNA-1,PWR,943,Operational,DOMINION,19710219,1971,19780405,19780417,19780606,,90.4,38.0606,-77.7894
us,NORTH ANNA-2,PWR,943,Operational,DOMINION,19710219,1971,19800612,19800825,19801214,,87.2,38.0606,-77.7894
us,MCGUIRE-1,PWR,1158,Operational,DUKEENER,19710401,1971,19810808,19810912,19811201,,88.7,35.4325,-80.9483
us,MCGUIRE-2,PWR,1158,Operational,DUKEENER,19710401,1971,19830508,19830523,19840301,,100,35.4325,-80.9483
us,HATCH-2,BWR,883,Operational,SOUTHERN,19720201,1972,19780704,19780922,19790905,,88.2,31.9342,-82.3439
us,COLUMBIA,BWR,1107,Operational,ENERGYNW,19720801,1972,19840119,19840527,19841213,,87.7,46.4711,-119.334
us,FERMI-2,BWR,1037,Operational,DTEDISON,19720926,1972,19850621,19860921,19880123,,92,41.9628,-83.2575
us,SHOREHAM,BWR,820,Permanent Shutdown,LIPA,19721101,1972,19850201,19860801,,19890501,,40.9611,-72.865
us,WATTS BAR-1,PWR,1123,Operational,TVA,19730123,1973,19960101,19960206,19960527,,100,35.6028,-84.7894
us,SUMMER-1,PWR,971,Operational,SCE&G,19730321,1973,19821022,19821116,19840101,,97,34.2986,-81.3147
us,LASALLE-1,BWR,1137,Operational,EXELON,19730910,1973,19820621,19820904,19840101,,100,41.2456,-88.6692
us,LASALLE-2,BWR,1140,Operational,EXELON,19730910,1973,19840310,19840420,19841019,,92.9,41.2456,-88.6692
us,SUSQUEHANNA-1,BWR,1257,Operational,PPL_SUSQ,19731102,1973,19820910,19821116,19830608,,89.7,41.0889,-76.1489
us,SUSQUEHANNA-2,BWR,1257,Operational,PPL_SUSQ,19731102,1973,19840508,19840703,19850212,,82.8,41.0889,-76.1489
us,SAN ONOFRE-2,PWR,1070,Permanent Shutdown,SCE,19740301,1974,19820726,19820920,19830808,20130607,0,33.3689,-117.555
us,SAN ONOFRE-3,PWR,1080,Permanent Shutdown,SCE,19740301,1974,19830829,19830925,19840401,20130607,0,33.3689,-117.555
us,CATAWBA-1,PWR,1146,Operational,DUKEENER,19740501,1974,19850107,19850122,19850629,,100,35.0517,-81.07
us,CATAWBA-2,PWR,1146,Operational,DUKEENER,19740501,1974,19860508,19860518,19860819,,90.7,35.0517,-81.07
us,BEAVER VALLEY-2,PWR,885,Operational,FENOC,19740503,1974,19870804,19870817,19871117,,96.6,40.6233,-80.4306
us,GRAND GULF-1,BWR,1419,Operational,ENTERGY,19740504,1974,19820818,19841020,19850701,,91.2,32.0067,-91.0483
us,LIMERICK-1,BWR,1130,Operational,EXELON,19740619,1974,19841222,19850413,19860201,,100,40.2267,-75.5872
us,LIMERICK-2,BWR,1134,Operational,EXELON,19740619,1974,19890812,19890901,19900108,,93,40.2267,-75.5872
us,MILLSTONE-3,PWR,1218,Operational,DOMINION,19740809,1974,19860123,19860212,19860423,,89,41.31194444,-72.16861111
us,PERRY-1,BWR,1256,Operational,FENOC,19741001,1974,19860606,19861219,19871118,,79.9,41.8008,-81.1433
us,WATERFORD-3,PWR,1168,Operational,ENTERGY,19741114,1974,19850304,19850318,19850924,,93.3,29.9953,-90.4711
us,COMANCHE PEAK-1,PWR,1209,Operational,LUMINANT,19741219,1974,19900403,19900424,19900813,,93.7,32.2983,-97.785
us,COMANCHE PEAK-2,PWR,1197,Operational,LUMINANT,19741219,1974,19930324,19930409,19930803,,99.6,32.2983,-97.785
us,BYRON-1,PWR,1164,Operational,EXELON,19750401,1975,19850202,19850301,19850916,,100,42.0742,-89.2819
us,BYRON-2,PWR,1136,Operational,EXELON,19750401,1975,19870109,19870206,19870802,,93.1,42.0742,-89.2819
us,BRAIDWOOD-1,PWR,1178,Operational,EXELON,19750801,1975,19870529,19870712,19880729,,94,41.2436,-88.2292
us,BRAIDWOOD-2,PWR,1152,Operational,EXELON,19750801,1975,19880308,19880525,19881017,,97.9,41.2436,-88.2292
us,NINE MILE POINT-2,BWR,1276,Operational,EXELON,19750801,1975,19870523,19870808,19880311,,98.4,43.5208,-76.4069
us,CALLAWAY-1,PWR,1215,Operational,AmerenUE,19750901,1975,19841002,19841024,19841219,,80,38.7617,-91.78
us,CLINTON-1,BWR,1065,Operational,EXELON,19751001,1975,19870227,19870424,19871124,,89.7,40.1722,-88.835
us,SOUTH TEXAS-1,PWR,1280,Operational,STP,19751222,1975,19880308,19880330,19880825,,94.1,28.7956,-96.0489
us,SOUTH TEXAS-2,PWR,1280,Operational,STP,19751222,1975,19890312,19890411,19890619,,60.9,28.7956,-96.0489
us,HOPE CREEK-1,BWR,1172,Operational,PSEG,19760301,1976,19860628,19860801,19861220,,88.5,39.46777778,-75.53805556
us,PALO VERDE-1,PWR,1311,Operational,APS,19760525,1976,19850525,19850610,19860128,,91.8,33.3892,-112.865
