Fuel Recipe Column # ==>,1,2,3,4,5,6,7
Isotope,UOX 33 Bu fresh,UOX 33 Bu SF,UOX 51 Bu fresh,UOX 51 Bu SF,UOX 100 Bu fresh,UOX 100 Bu SF,Depleted U Composition
He4,0,2.09687731425456E-07,0,9.47457840128509E-07,0,2.0692755421168E-06,0
Ra226,0,1.18893043712383E-14,0,9.78856442957042E-14,0,0,0
Ra228,0,6.05164592554536E-21,0,2.75087759176098E-20,0,6.0138599011451E-20,0
Pb206,0,7.66855132237399E-20,0,5.57475193532078E-18,0,1.40345550165974E-17,0
Pb207,0,6.51861860354101E-17,0,1.68592497990149E-15,0,4.17687747042409E-15,0
Pb208,0,1.2309279798986E-13,0,3.6888358546006E-12,0,9.17047581755368E-12,0
Pb210,0,2.49685391210951E-20,0,3.02386544437848E-19,0,7.27830258222134E-19,0
Th228,0,6.56361597079969E-13,0,8.47562285269577E-12,0,1.92576399560947E-11,0
Th229,0,1.70690013134599E-13,0,2.72787861516683E-12,0,7.40240188571777E-12,0
Th230,0,0.000000001,0,2.6258831537493E-09,0,5.88598326377677E-11,0
Th232,0,1.56490843910748E-10,0,4.17481422959E-10,0,7.40025692172145E-11,0
Bi209,0,2.5848487636376E-17,0,6.60770597104927E-16,0,1.63657675239771E-15,0
Ac227,0,3.45679774696139E-15,0,3.0968621961773E-14,0,0,0
Pa231,0,2.25186824592336E-10,0,9.24658854635179E-10,0,1.85882724619498E-13,0
U232,0,1.39991809249232E-10,0,0.000000001,0,4.14040698518588E-09,0
U233,0,1.31692294843742E-09,0,2.21390148606282E-09,0,0.000000001,0.00002559
U234,0.0002558883,0.0001558909,0.0003439849,0.0001718924,0,1.99214512497898E-05,0.0002
U235,0.0319885317,0.0080635282,0.0429981081,0.0076486597,0.0850000118,0.0095797956,0
U236,0,0.0038647739,0,0.0057057461,0,0.0128274928,0.999774441
U238,0.96775558,0.9441447592,0.9566579071,0.9208590237,0.9149999882,0.8767329533,0
Np237,0,0.0003316806,0,0.0006091729,0,0.0017754562,0
Pu238,0,0.0001076937,0,0.000291487,0,0.0012147933,0
Pu239,0,0.0050287058,0,0.0060657301,0,0.0078256984,0
Pu240,0,0.0022528682,0,0.0029058707,0,0.0040203032,0
Pu241,0,0.0012229284,0,0.0017579218,0,0.0025609794,0
Pu242,0,0.0004725724,0,0.0008638616,0,0.0015557253,0
Pu244,0,1.24592710231816E-08,0,2.86487251922763E-08,0,7.1852789537866E-08,0
Am241,0,2.97982565401936E-05,0,6.44271331287386E-05,0,0.0001248299,0
Am242m,0,3.55779183791976E-07,0,8.53362027193319E-07,0,3.04622870159936E-06,0
Am243,0,7.89053833418348E-05,0,0.0001983912,0,0.0004821283,0
Cm242,0,1.15793225079007E-05,0,2.58988475560194E-05,0,4.77865383234175E-05,0
Cm243,0,0.00000024,0,0.000000771,0,1.92642327173483E-06,0
Cm244,0,2.20987070314859E-05,0,8.5616190260478E-05,0,0.0003075093,0
Cm245,0,1.02693991499258E-06,0,5.72174539442251E-06,0,3.1487737910595E-05,0
Cm246,0,9.56844016218499E-08,0,7.29567535786554E-07,0,5.71288878440004E-06,0
Cm247,0,8.39550878897535E-10,0,0.00000001,0,1.24201826625472E-07,0
Cm248,0,4.3267468472959E-11,0,7.69165773748653E-10,0,1.48791736888313E-08,0
Cm250,0,1.99688316479083E-19,0,4.2808095130239E-18,0,1.05507978875271E-17,0
Cf249,0,4.3937429274366E-14,0,1.64992658175413E-12,0,4.1195959754652E-12,0
Cf250,0,8.11752505346616E-14,0,2.04190913935875E-12,0,5.05525298169004E-12,0
Cf251,0,3.16081506454872E-14,0,9.86556100338561E-13,0,2.45469487778368E-12,0
Cf252,0,1.66790241305513E-14,0,6.57970721693466E-13,0,1.64419890979523E-12,0
H3,0,5.74866365267024E-08,0,8.58461800264195E-08,0,1.25651837383424E-07,0
C14,0,2.63084607239092E-11,0,4.05781943561107E-11,0,8.11459271249642E-11,0
Kr81,0,2.16087356991135E-11,0,4.21681236076192E-11,0,7.23718843614498E-11,0
Kr85,0,2.41685859253852E-05,0,3.44484671160181E-05,0,4.86538989708267E-05,0
Sr90,0,0.0005372686,0,0.0007880649,0,0.0016286161,0
Tc99,0,0.0007822542,0,0.0011409492,0,0.0021673949,0
I129,0,0.0001810894,0,0.0002731878,0,0.000521132,0
Cs134,0,0.0001230928,0,0.0002300898,0,0.0003865652,0
Cs135,0,0.0003052821,0,0.0006596706,0,0.0017505047,0
Cs137,0,0.0012009297,0,0.0018169192,0,0.0034995962,0
