Country,Name,Unit,Type,Model,Status,Net Capacity,Gross Capacity,Construction Date,Commerical Operation Date,Closure
belgium,Doel,1,PWR,WE-2 loops,Operational,433,454,1 July 1969,15 February 1975,(2025)
belgium,Doel,2,PWR,WE-2 loops,Operational,433,454,1 September 1971,1 December 1975,(2025)
belgium,Doel,3,PWR,Framatome 3-loops,Operational,1006,1056,1 January 1975,1 October 1982,(2022)
belgium,Doel,4,PWR,WE-3 loops,Operational,1039,1090,1 December 1978,1 July 1985,(2025)
belgium,Tihange,1,PWR,Framatome 3-loops,Operational,962,1009,1 June 1970,1 October 1975,(2025)
belgium,Tihange,2,PWR,Framatome 3-loops,Operational,1008,1055,1 April 1976,1 June 1983,(2023)
belgium,Tihange,3,PWR,WE-3 loops,Operational,1046,1094,1 November 1978,1 September 1985,(2025)
bulgaria,Kozloduy,1,PWR,VVER V-230,Shut down,408,440,1 April 1970,28 October 1974,31 December 2002
bulgaria,Kozloduy,2,PWR,VVER V-230,Shut down,408,440,1 April 1970,10 November 1975,31 December 2002
bulgaria,Kozloduy,3,PWR,VVER V-230,Shut down,408,440,1 October 1973,20 January 1981,31 December 2006
bulgaria,Kozloduy,4,PWR,VVER V-230,Shut down,408,440,1 October 1973,20 June 1982,31 December 2006
bulgaria,Kozloduy,5,PWR,VVER V-320,Operational,953,1000,9 July 1980,23 December 1988,
bulgaria,Kozloduy,6,PWR,VVER V-320,Operational,953,1000,1 April 1982,30 December 1993,
bulgaria,Belene,1,PWR,VVER,Unfinished,,1000,,,
bulgaria,Belene,2,PWR,VVER,Unfinished,,1000,,,
czech,Dukovany,1,PWR,VVER V-213,Operational,468,500,1 January 1979,3 May 1985,
czech,Dukovany,2,PWR,VVER V-213,Operational,471,500,1 January 1979,21 March 1986,
czech,Dukovany,3,PWR,VVER V-213,Operational,468,500,1 March 1979,20 December 1986,
czech,Dukovany,4,PWR,VVER V-213,Operational,471,500,1 March 1979,19 July 1987,
czech,Temelín,1,PWR,VVER V-320,Operational,1003,1056,1 February 1987,10 June 2002,
czech,Temelín,2,PWR,VVER V-320,Operational,1003,1056,1 February 1987,18 April 2003,
finland,Loviisa,1,PWR,VVER V-213,Operational,496,520,1 May 1971,9 May 1977,
finland,Loviisa,2,PWR,VVER V-213,Operational,496,520,1 August 1972,5 January 1981,
finland,Olkiluoto,1,BWR,"ABB-III, BWR-2500",Operational,880,910,1 February 1974,10 October 1979,
finland,Olkiluoto,2,BWR,"ABB-III, BWR-2500",Operational,880,910,1 November 1975,10 July 1982,
