Country,Reactor Unit,Type,Net Capacity (MWe),Status,Operator,Contstruction Date,Construction Year,First Criticality Date,First Grid Date,Commercial Date,Shutdown Date,UCF for 2013
Belgium,DOEL-1,PWR,433,Operational,ELECTRAB,7/1/69,1969,7/18/74,8/28/74,2/15/75,,97.9
Belgium,TIHANGE-1,PWR,962,Operational,ELECTRAB,6/1/70,1970,2/21/75,3/7/75,10/1/75,,80.9
Belgium,DOEL-2,PWR,433,Operational,ELECTRAB,9/1/71,1971,8/4/75,8/21/75,12/1/75,,93.8
Belgium,DOEL-3,PWR,1006,Operational,ELECTRAB,1/1/75,1975,6/14/82,6/23/82,10/1/82,,56.9
Belgium,TIHANGE-2,PWR,1008,Operational,ELECTRAB,4/1/76,1976,10/5/82,10/13/82,6/1/83,,55.8
Belgium,TIHANGE-3,PWR,1046,Operational,ELECTRAB,11/1/78,1978,6/5/85,6/15/85,9/1/85,,88.9
Belgium,DOEL-4,PWR,1039,Operational,ELECTRAB,12/1/78,1978,3/31/85,4/8/85,7/1/85,,93.5
Bulgaria,KOZLODUY-1,PWR,408,Permanent Shutdown,KOZNPP,4/1/70,1970,6/30/74,7/24/74,10/28/74,12/31/02,
Bulgaria,KOZLODUY-2,PWR,408,Permanent Shutdown,KOZNPP,4/1/70,1970,8/22/75,8/24/75,11/10/75,12/31/02,
Bulgaria,KOZLODUY-3,PWR,408,Permanent Shutdown,KOZNPP,10/1/73,1973,12/4/80,12/17/80,1/20/81,12/31/06,
Bulgaria,KOZLODUY-4,PWR,408,Permanent Shutdown,KOZNPP,10/1/73,1973,4/25/82,5/17/82,6/20/82,12/31/06,
Bulgaria,KOZLODUY-5,PWR,953,Operational,KOZNPP,7/9/80,1980,11/5/87,11/29/87,12/23/88,,86
Bulgaria,KOZLODUY-6,PWR,953,Operational,KOZNPP,4/1/82,1982,5/29/91,8/2/91,12/30/93,,89.1
Bulgaria,BELENE-1,PWR,953,Cancelled Constr.,KOZNPP,1/1/87,1987,,,,3/28/12,
Bulgaria,BELENE-2,PWR,953,Cancelled Constr.,KOZNPP,3/31/87,1987,,,,3/28/12,
Czechoslovakia,BOHUNICE A1,HWGCR,93,Permanent Shutdown,JAVYS,8/1/58,1958,10/24/72,12/25/72,12/25/72,2/22/77,
