Country,Reactor Unit,Type,Net Capacity (MWe),Status,Operator,Contstruction Date,Construction Year,First Criticality Date,First Grid Date,Commercial Date,Shutdown Date,UCF for 2013
Argentina,ATUCHA-1,PHWR,335,Operational,NASA,6/1/68,1968,1/13/74,3/19/74,6/24/74,,83.1
Argentina,EMBALSE,PHWR,600,Operational,NASA,4/1/74,1974,3/13/83,4/25/83,1/20/84,,69.6
Argentina,ATUCHA-2,PHWR,692,Operational,NASA,7/14/81,1981,6/3/14,6/27/14,,,0
Argentina,CAREM25,PWR,25,Under Construction,CNEA,2/8/14,2014,,,,,
Bangladesh,Rooppur Nuclear Power Plant (Unit-I),VVER,1000-1250,Planned,,2016,,,,2021,,
Belarus,BELARUSIAN-1,PWR,1109,Under Construction,BelNPP,11/6/13,2013,,,,,
Belarus,BELARUSIAN-2,PWR,1109,Under Construction,BelNPP,4/26/14,2014,,,,,
Bangladesh,Rooppur Nuclear Power Plant (Unit-II),VVER,1000-1250,One year after 1st unit,,,,,,,,
Belarus,,WWPR,1200,Under Construction,,2011,,,,2016,,
Belarus,,WWPR,1200,Under Construction,,2013,,,,2018,,
Belgium,BR-3,PWR,10,Permanent Shutdown,CEN/SCK,11/1/57,1957,8/29/62,10/10/62,10/10/62,6/30/87,
Belgium,DOEL-1,PWR,433,Operational,ELECTRAB,7/1/69,1969,7/18/74,8/28/74,2/15/75,,97.9
Belgium,TIHANGE-1,PWR,962,Operational,ELECTRAB,6/1/70,1970,2/21/75,3/7/75,10/1/75,,80.9
Belgium,DOEL-2,PWR,433,Operational,ELECTRAB,9/1/71,1971,8/4/75,8/21/75,12/1/75,,93.8
Belgium,DOEL-3,PWR,1006,Operational,ELECTRAB,1/1/75,1975,6/14/82,6/23/82,10/1/82,,56.9
Belgium,TIHANGE-2,PWR,1008,Operational,ELECTRAB,4/1/76,1976,10/5/82,10/13/82,6/1/83,,55.8
Belgium,TIHANGE-3,PWR,1046,Operational,ELECTRAB,11/1/78,1978,6/5/85,6/15/85,9/1/85,,88.9
Belgium,DOEL-4,PWR,1039,Operational,ELECTRAB,12/1/78,1978,3/31/85,4/8/85,7/1/85,,93.5
Brazil,ANGRA-1,PWR,609,Operational,ELETRONU,5/1/71,1971,3/13/82,4/1/82,1/1/85,,70.9
Brazil,ANGRA-2,PWR,1275,Operational,ELETRONU,1/1/76,1976,7/14/00,7/21/00,2/1/01,,90.1
Brazil,ANGRA-3,PWR,1245,Under Construction,ELETRONU,6/1/10,2010,,,1/1/16,,
Bulgaria,KOZLODUY-1,PWR,408,Permanent Shutdown,KOZNPP,4/1/70,1970,6/30/74,7/24/74,10/28/74,12/31/02,
Bulgaria,KOZLODUY-2,PWR,408,Permanent Shutdown,KOZNPP,4/1/70,1970,8/22/75,8/24/75,11/10/75,12/31/02,
Bulgaria,KOZLODUY-3,PWR,408,Permanent Shutdown,KOZNPP,10/1/73,1973,12/4/80,12/17/80,1/20/81,12/31/06,
Bulgaria,KOZLODUY-4,PWR,408,Permanent Shutdown,KOZNPP,10/1/73,1973,4/25/82,5/17/82,6/20/82,12/31/06,
Bulgaria,KOZLODUY-5,PWR,953,Operational,KOZNPP,7/9/80,1980,11/5/87,11/29/87,12/23/88,,86
Bulgaria,KOZLODUY-6,PWR,953,Operational,KOZNPP,4/1/82,1982,5/29/91,8/2/91,12/30/93,,89.1
Bulgaria,BELENE-1,PWR,953,Cancelled Constr.,KOZNPP,1/1/87,1987,,,,3/28/12,
Bulgaria,BELENE-2,PWR,953,Cancelled Constr.,KOZNPP,3/31/87,1987,,,,3/28/12,
Canada,ROLPHTON NPD,PHWR,22,Permanent Shutdown,OH,1/1/58,1958,4/11/62,6/4/62,10/1/62,8/1/87,
Canada,DOUGLAS POINT,PHWR,206,Permanent Shutdown,OH,2/1/60,1960,11/15/66,1/7/67,9/26/68,5/4/84,
Canada,PICKERING-1,PHWR,515,Operational,OPG,6/1/66,1966,2/25/71,4/4/71,7/29/71,,46.2
Canada,GENTILLY-1,HWLWR,250,Permanent Shutdown,HQ,9/1/66,1966,11/12/70,4/5/71,5/1/72,6/1/77,
Canada,PICKERING-2,PHWR,515,Permanent Shutdown,OPG,9/1/66,1966,9/15/71,10/6/71,12/30/71,5/28/07,
Canada,PICKERING-3,PHWR,515,Permanent Shutdown,OPG,12/1/67,1967,4/24/72,5/3/72,6/1/72,10/31/08,
Canada,PICKERING-4,PHWR,515,Operational,OPG,5/1/68,1968,5/16/73,5/21/73,6/17/73,,86.6
Canada,BRUCE-2,PHWR,734,Operational,BRUCEPOW,12/1/70,1970,7/27/76,9/4/76,9/1/77,,88.2
Canada,BRUCE-1,PHWR,772,Operational,BRUCEPOW,6/1/71,1971,12/17/76,1/14/77,9/1/77,,86.1
Canada,BRUCE-3,PHWR,730,Operational,BRUCEPOW,7/1/72,1972,11/28/77,12/12/77,2/1/78,,94.2
