nuclide,"(n,gamma)","(n,2n)","(n,p)","(n,a)","(n,3n)","(n,4n)",fission
H1,0.0206582,0.0,0.0,0.0,0.0,0.0,0.0
H2,3.67761e-05,0.00154636,0.0,0.0,0.0,0.0,0.0
H3,0.0,3.34522e-05,0.0,0.0,0.0,0.0,0.0
He3,6.92575e-05,0.0,329.174,0.0,0.0,0.0,0.0
He4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li6,0.00240827,0.0,0.00122913,0.0,0.0,0.0,0.0
Li7,0.00283524,9.35045e-06,0.0,0.0,0.0,0.0,0.0
Be9,0.00062757,0.0337085,5.79906e-09,0.0141691,0.0,0.0,0.0
B10,0.0309899,0.0,0.0042308,239.269,0.0,0.0,0.0
B11,0.000402861,6.04772e-07,2.14358e-07,1.24894e-05,0.0,0.0,0.0
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N14,0.00468743,2.50326e-07,0.139461,0.0307859,0.0,0.0,0.0
N15,2.24682e-05,4.1941e-06,2.64033e-06,1.41157e-05,0.0,0.0,0.0
O16,0.000141239,7.37059e-10,6.80002e-06,0.00250819,0.0,0.0,0.0
O17,0.00036055,9.40741e-06,2.99694e-06,0.0779927,0.0,0.0,0.0
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ne20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ne21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ne22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Na22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Na23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mg24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mg25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mg26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al26_m1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Si28,0.0123841,1.16606e-09,0.00204694,0.000862969,0.0,0.0,0.0
Si29,0.0137002,2.82422e-05,0.00111327,0.00181926,0.0,0.0,0.0
Si30,0.113999,2.27413e-05,5.89965e-06,3.04278e-05,0.0,0.0,0.0
Si31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Si32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
