run _number,mutation type,population size,mutation rate,crossover rate,constraint penalty,haleu swu
0,replace_uniform,5,0.045,0.299,1.606,9.2433623360e8 
1,replace_uniform,5,0.029,0.187,1.219,4.9655713001e8
2,replace_uniform,5,0.02,0.214,1.084,1.2646983579e9
3,replace_uniform,5,0.132,0.414,1.552,8.3277155002e8
4,replace_uniform,10,0.147,0.23,0.572,1.3357620650e8
5,replace_uniform,10,0.17,0.135,0.663,7.1231455474e7
6,replace_uniform,10,0.02,0.782,1.277,2.9374676147e8
7,replace_uniform,10,0.16,0.111,1.131,5.9811455999e8
8,replace_uniform,25,0.179,0.143,1.059,5.9322215536e8
9,replace_uniform,25,0.103,0.368,1.156,2.1048715075e8
10,replace_uniform,25,0.089,0.502,1.626,
11,replace_uniform,25,0.029,0.888,1.986,
12,replace_uniform,50,0.131,0.702,1.831,
13,replace_uniform,50,0.054,0.347,1.029,
14,replace_uniform,50,0.152,0.22,0.844,
15,replace_uniform,50,0.042,0.105,1.036,
16,replace_uniform,100,0.137,0.336,1.698,
17,replace_uniform,100,0.194,0.659,1.15,
18,replace_uniform,100,0.189,0.331,1.378,
19,replace_uniform,100,0.013,0.488,1.712,
20,offset_normal,5,0.135,0.811,1.76,1.7388654824e8
21,offset_normal,5,0.126,0.745,0.678,1.7388654824e8
22,offset_normal,5,0.16,0.797,1.564,1.7388654824e8
23,offset_normal,5,0.048,0.619,0.908,5.0679987698e8
24,offset_normal,10,0.118,0.359,1.298,3.7319829542e8
25,offset_normal,10,0.063,0.258,1.837,1.2310431444e8
26,offset_normal,10,0.121,0.711,1.471,8.9226770541e7
27,offset_normal,10,0.106,0.853,1.723,8.9226770541e7
28,offset_normal,25,0.113,0.5,0.648,0
29,offset_normal,25,0.182,0.653,1.254,0
30,offset_normal,25,0.062,0.3,1.315,0
31,offset_normal,25,0.127,0.566,1.92,7.7298057902e7
32,offset_normal,50,0.066,0.189,1.398,4.5097455105e8
33,offset_normal,50,0.072,0.161,1.128,4.3912569029e8
34,offset_normal,50,0.133,0.836,1.093,4.3121334225e8
35,offset_normal,50,0.069,0.451,0.834,5.3881112473e8
36,offset_normal,100,0.133,0.304,1.463,1.3153464440e9
37,offset_normal,100,0.033,0.543,1.956,2.6761214755e8
38,offset_normal,100,0.059,0.664,1.261,4.3815865625e8
39,offset_normal,100,0.029,0.714,1.462,4.3815865625e8
