run_number,mutation type,population size,mutation rate,crossover rate,constraint penalty,haleu swu, mmr_share,xe100_share,voygr_share,lwr,mmr_burnup,xe100_burnup
41,replace_uniform,50,0.167,0.716,0.989,8.60912223219e7,3,0,95,49,78,185
42,replace_uniform,50,0.027,0.705,0.97,1.1528018772e8,1,3,94,34,90,168
43,replace_uniform,50,0.182,0.333,1.072,0,0,0,91,42,74,112
44,replace_uniform,50,0.07,0.431,0.958,2.4719428655e8,2,14,85,47,86,151
45,replace_uniform,50,0.116,0.584,1.109,0,0,0,99,49,41,168
46,replace_uniform,50,0.043,0.209,2,1.7708119049e8,1,14,85,50,86,185
47,replace_uniform,50,0.132,0.282,1.552,7.6168382009e7,0,2,98,27,86,151
48,replace_uniform,100,0.131,0.892,1.513,6.5144036259e8,0,67,33,34,74,168
49,replace_uniform,100,0.089,0.155,1.386,1.0784941370e9,22,6,72,25,62,140
50,replace_uniform,100,0.126,0.675,0.57,2.0456498728e8,2,12,86,36,74,185
51,replace_uniform,100,0.151,0.672,0.54,7.4306731128e8,14,15,71,24,90,112
52,replace_uniform,100,0.02,0.86,1.815,7.8710428970e8,4,73,24,36,82,168
53,replace_uniform,100,0.026,0.281,0.828,4.3510586704e8,1,29,30,8,41,168
54,replace_uniform,100,0.033,0.536,1.789,5.3261928538e8,13,8,76,41,90,151
55,offset_normal,50,0.13,0.205,0.921,1.1122402040e8,0,6,93,44,86,140
56,offset_normal,50,0.143,0.634,0.835,2.8179317368e8,0,31,69,44,86,185
57,offset_normal,50,0.185,0.832,1.186,2.4356433954e8,2,15,83,21,78,185
58,offset_normal,50,0.056,0.868,1.779,5.6129830942e8,4,50,46,44,82,185
59,offset_normal,50,0.035,0.603,1.031,0,0,0,94,15,90,151
60,offset_normal,50,0.126,0.454,1.108,3.1266347764e8,7,3,90,47,62,185
61,offset_normal,50,0.011,0.341,1.809,7.9556718747e7,1,2,100,37,82,168
62,offset_normal,100,0.194,0.699,0.85,8.7295030533e8,9,54,37,12,82,185
63,offset_normal,100,0.072,0.339,1.269,7.6765714988e8,10,25,65,8,86,140
64,offset_normal,100,0.03,0.614,0.528,7.4444414058e8,4,57,39,14,62,185
65,offset_normal,100,0.043,0.597,0.983,4.2705134123e8,9,13,78,49,74,185
66,offset_normal,100,0.059,0.29,1.09,3.6330978438e8,8,8,84,30,86,185
67,offset_normal,100,0.062,0.7,1.394,6.8351483356e8,12,23,66,23,78,185
68,offset_normal,100,0.062,0.555,1.298,8.4601144400e8,14,38,48,50,90,151
