Year,Capacity Factor
1965,48.2
1966,48.2
1967,48.2
1968,48.2
1969,48.2
1970,48.2
1971,48.2
1972,42.5
1973,53.5
1974,47.8
1975,55.9
1976,54.7
1977,63.3
1978,64.5
1979,58.4
1980,56.3
1981,58.2
1982,56.6
1983,54.4
1984,56.3
1985,58
1986,56.9
1987,57.4
1988,63.5
1989,62.2
1990,66
1991,70.2
1992,70.9
1993,70.5
1994,73.8
1995,77.4
1996,76.2
1997,71.1
1998,78.2
1999,85.3
2000,88.1
2001,89.4
2002,90.3
2003,87.9
2004,90.1
2005,89.3
2006,89.6
2007,91.8
2008,91.1
2009,90.3
2010,90.9
2011,88.9
2012,86.4
2013,89.9
2014,91.7
2015,92.2
2016,92.1
2017,92.5
2018,92.5
2019,92.5
2020,92.5
2021,92.5
2022,92.5
2023,92.5
2024,92.5
2025,92.5
2026,92.5
2027,92.5
2028,92.5
2029,92.5
2030,92.5
2031,92.5
2032,92.5
2033,92.5
2034,92.5
2035,92.5
2036,92.5
2037,92.5
2038,92.5
2039,92.5
2040,92.5
2041,92.5
2042,92.5
2043,92.5
2044,92.5
2045,92.5
2046,92.5
2047,92.5
2048,92.5
2049,92.5
