Year,new_LWR_Capacity,Total LWR Capacity,Total LWR Capacity Inc 1,New Capacity Inc 1,num_Xe100,num_MMR,Xe100Decom,MMRDecom,total_cap,new_cap,new_Xe100_cap,Xe100_cap,new_MMR_cap,MMR_cap,remaining_cap,greedy_num_Xe100,rand_num_Xe100,greedy_num_MMR,rand_num_MMR
1959,182.22500000000002,182.22500000000002,182.22500000000002,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1960,154.475,336.70000000000005,336.70000000000005,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1961,0.0,336.70000000000005,336.70000000000005,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1962,296.0,632.7,632.7,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1963,0.0,632.7,632.7,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1964,61.975,694.6750000000001,694.6750000000001,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1965,0.0,694.6750000000001,694.6750000000001,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1966,0.0,694.6750000000001,694.6750000000001,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1967,965.7,1660.375,1660.375,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1968,0.0,1660.375,1660.375,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1969,2484.55,4144.925,4144.925,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1970,2405.925,6550.85,6550.85,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1971,2104.375,8655.225,8655.225,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1972,4417.8,13073.025000000001,13073.025000000001,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1973,10509.85,23582.875,23582.875,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1974,11172.15,34755.025,34755.025,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1975,2769.45,37524.475,37524.475,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1976,6343.65,43868.125,43868.125,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1977,2715.8,46583.925,46583.925,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1978,2425.3500000000004,49009.275,49009.275,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1979,0.0,49009.275,49009.275,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1980,1938.8000000000002,50948.075000000004,50948.075000000004,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1981,4012.6500000000005,54960.725000000006,54960.725000000006,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1982,5103.225,60063.950000000004,60063.950000000004,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1983,3038.625,63102.575000000004,63102.575000000004,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1984,5681.35,68783.925,68783.925,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1985,9561.725,78345.65000000001,78345.65000000001,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1986,6521.25,84866.90000000001,84866.90000000001,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1987,7388.900000000001,92255.8,92255.8,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1988,2257.0,94512.8,94512.8,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1989,2458.65,96971.45,96971.45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1990,2267.175,99238.625,99238.625,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1991,-154.475,99084.15,99084.15,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1992,-1416.175,97667.97499999999,97667.97499999999,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
